date,event,location,result,fighter1,fighter2,method_of_victory,fight_duration,fight_format,f1_knockdown,f2_knockdown,f1_sig_strike_land,f2_sig_strike_land,f1_sig_strike_att,f2_sig_strike_att,f1_total_strike_land,f2_total_strike_land,f1_total_strike_att,f2_total_strike_att,f1_takedown_land,f2_takedown_land,f1_takedown_att,f2_takedown_att,f1_sub_att,f2_sub_att,f1_reversal,f2_reversal,f1_control_time,f2_control_time
"November 12, 2022",UFC 281: Adesanya vs. Pereira,"New York City, New York, USA",1,Dustin Poirier,Michael Chandler,Submission,720,3,0,0,38,43,76,100,63,65,105,135,0,3,0,7,2,0,0,0,47,339
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",1,Vanessa Demopoulos,Maria Oliveira,Decision - Unanimous,900,3,1,0,55,83,80,154,121,95,154,166,2,0,4,0,0,0,0,0,479,1
"November 12, 2022",UFC 281: Adesanya vs. Pereira,"New York City, New York, USA",0,Carla Esparza,Zhang Weili,Submission,365,5,0,0,6,37,32,78,19,42,50,90,1,0,4,0,0,1,1,1,55,90
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",1,Charles Johnson,Zhalgas Zhumagulov,Decision - Split,900,3,0,0,115,119,209,234,141,141,237,258,0,1,2,4,0,0,0,0,57,63
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",0,Vince Morales,Miles Johns,Decision - Unanimous,900,3,0,0,39,38,131,103,47,45,139,110,0,1,0,12,0,0,0,0,5,128
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",1,Natalia Silva,Tereza Bleda,KO/TKO,687,3,1,0,45,18,72,47,62,25,89,55,0,1,3,7,0,2,1,0,133,296
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",1,Ricky Turcios,Kevin Natividad,Decision - Split,900,3,0,1,68,41,115,81,170,61,224,109,2,7,5,13,1,0,3,0,377,300
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",1,Jack Della Maddalena,Danny Roberts,KO/TKO,204,3,2,0,33,5,60,33,41,5,68,33,0,0,0,1,0,0,0,0,34,15
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",1,Jennifer Maia,Maryna Moroz,Decision - Unanimous,900,3,0,0,109,80,253,272,117,84,261,276,0,0,0,0,0,0,0,0,104,0
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",0,Andre Fialho,Muslim Salikhov,KO/TKO,663,3,0,0,17,56,66,95,29,77,80,123,0,1,0,3,0,0,0,0,20,187
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",0,Liudvik Sholinian,Johnny Munoz,Decision - Unanimous,900,3,0,0,56,78,152,227,70,114,166,270,0,2,2,4,0,0,0,0,90,159
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",0,Carlos Candelario,Jake Hadley,Submission,459,3,0,0,69,90,148,169,69,107,148,188,1,0,1,0,0,1,0,0,99,0
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",1,Polyana Viana,Jinh Yu Frey,KO/TKO,47,3,1,0,11,6,18,14,11,6,18,14,0,0,0,0,0,0,0,0,0,0
